descripcion,valor_usd,valor_pen,categoria,subcategoria,idioma,es_sintetico
Pago de carne en Jumbo,61.65,228.1,Alimentación,Supermercado,es,True
Compra en Jumbo: verduras,44.85,165.91,Alimentación,Supermercado,es,True
Pagamento de lanches em iFood,91.18,337.36,Alimentación,Supermercado,pt,True
Pago de matrícula académica en institución educativa - billetera digital,35.83,132.56,Educación,Matrícula,es,True
empresa eléctrica - recibo de gas,189.18,699.97,Servicios,Gas domiciliario,es,True
Car,137850.83,510048.07,Compras,Vehículo,en,False
Pago de materiales para tejido en cine local,112.0,414.4,Entretenimiento,Lectura y pasatiempos,es,True
Netflix - materiales de arte - Mercado Pago,210.55,779.05,Entretenimiento,Lectura y pasatiempos,es,True
Jumbo - pollo,37.38,138.28,Alimentación,Supermercado,es,True
cuidado de la piel / Natura,441.06,1631.97,Cuidado personal,Cuidado de la piel,es,True
Car Repair,654.78,2422.69,Transporte,Mantenimiento vehicular,en,False
empresa de servicios - recibo de gas,34.47,127.52,Servicios,Gas domiciliario,es,True
Compra en empresa de servicios: recibo de agua,38.91,143.95,Servicios,Agua,es,True
compra diversa / pago diverso - Mercado Pago,44.98,166.4,Otros,Otros,es,True
Pago de membresía de gimnasio en centro médico - SPEI,126.15,466.76,Salud y bienestar,Gimnasio,es,True
Streaming Service,12.45,46.06,Entretenimiento,Streaming,en,False
Pago de recibo de agua en empresa eléctrica - Mercado Pago,186.55,690.24,Servicios,Agua,es,True
Compra en Coursera: matrícula académica,66.99,247.86,Educación,Matrícula,es,True
tienda de regalos - juegos infantiles,133.31,493.24,Regalos,Juguetes,es,True
clases de idiomas / Udemy,118.85,439.72,Educación,Cursos,es,True
Pago de productos electrónicos en Mercado Libre,1438.2,5321.44,Compras,Electrónica,es,True
libros / institución educativa,113.15,418.66,Educación,Libros,es,True
Spotify - cena con amigos,112.75,417.17,Entretenimiento,Eventos,es,True
Pago de recibo de agua en proveedor de internet - SPEI,43.01,159.15,Servicios,Agua,es,True
Pago de mantenimiento del hogar en servicio del hogar,49.34,182.54,Vivienda,Mantenimiento del hogar,es,True
Compra en administración residencial: alquiler de vivienda,671.63,2485.13,Vivienda,Alquiler,es,True
Pago de alojamiento en hotel en hotel local,59.17,218.92,Viajes,Alojamiento,es,True
transporte público / Cabify,55.79,206.38,Transporte,Transporte público,es,True
Compra en LATAM: alojamiento en hotel - SPEI,281.67,1042.17,Viajes,Alojamiento,es,True
Compra em centro médico: consulta odontológica,365.41,1352.03,Salud y bienestar,Odontología,pt,True
Compra en Spotify: servicio de streaming,85.1,314.84,Entretenimiento,Streaming,es,True
tarjeta de regalo / Miniso,70.64,261.36,Regalos,Tarjeta de regalo,es,True
Compra en servicio general: servicio no identificado,63.28,234.12,Otros,Otros,es,True
Compra en gimnasio local: equipo para ejercicio,236.36,874.55,Salud y bienestar,Equipamiento deportivo,es,True
Pago de servicio de streaming en Spotify,37.29,137.95,Entretenimiento,Streaming,es,True
Pago de recibo de agua en proveedor de internet,127.88,473.13,Servicios,Agua,es,True
clases de idiomas / Coursera - billetera digital,182.77,676.24,Educación,Cursos,es,True
Pago de libros en Udemy,28.86,106.77,Educación,Libros,es,True
florería local - joias,310.65,1149.42,Regalos,Joyería,pt,True
equipamento de treino / centro médico,330.29,1222.08,Salud y bienestar,Equipamiento deportivo,pt,True
Compra en Cabify: taxi o aplicativo,77.19,285.59,Transporte,Taxi y aplicativo,es,True
recibo de electricidad / proveedor de internet,26.55,98.2,Servicios,Electricidad,es,True
Pago de transporte público en Cabify,28.46,105.28,Transporte,Transporte público,es,True
mantenimiento del hogar / servicio del hogar,28.86,106.75,Vivienda,Mantenimiento del hogar,es,True
Pago de equipo para ejercicio en centro médico,147.9,547.24,Salud y bienestar,Equipamiento deportivo,es,True
Compra en Coto: pan,21.46,79.38,Alimentación,Supermercado,es,True
Pago de frutas en Soriana,24.39,90.24,Alimentación,Supermercado,es,True
Medicine,441.03,1631.81,Salud y bienestar,Farmacia,en,False
Pago de internet y telefonía en proveedor de internet - Nequi,40.0,147.98,Servicios,Internet y telefonía,es,True
Pago de tarjeta de regalo en tienda de regalos,22.64,83.76,Regalos,Tarjeta de regalo,es,True
Soriana - comida en restaurante,233.96,865.65,Alimentación,Restaurante,es,True
champú / Natura - billetera móvil,49.99,184.93,Cuidado personal,Higiene,es,True
Compra en tienda departamental: calzado,234.5,867.65,Compras,Calzado,es,True
Oxxo - carne - SPEI,86.88,321.44,Alimentación,Supermercado,es,True
Pago de consulta médica en centro médico - Nequi,162.77,602.26,Salud y bienestar,Consulta médica,es,True
Pago de flores en Miniso,33.16,122.67,Regalos,Flores,es,True
centro médico - clase de yoga,132.35,489.69,Salud y bienestar,Entrenamiento,es,True
Compra en tienda de cuidado personal: champú,152.2,563.14,Cuidado personal,Higiene,es,True
Compra en servicio general: pago varios,121.23,448.55,Otros,Otros,es,True
materiales de arte / cine local,145.82,539.58,Entretenimiento,Lectura y pasatiempos,es,True
Rappi - pan,29.2,108.03,Alimentación,Supermercado,es,True
Pago de alquiler de vivienda en administración residencial,614.6,2274.08,Vivienda,Alquiler,es,True
cena con amigos / Spotify - Yape,230.74,853.74,Entretenimiento,Eventos,es,True
Compra en farmacia local: consulta dental,103.28,382.11,Salud y bienestar,Odontología,es,True
Booking - alojamiento en hotel,236.11,873.6,Viajes,Alojamiento,es,True
Pagamento de calçados em Mercado Libre,602.83,2230.52,Compras,Calzado,pt,True
consulta médica / centro médico,228.93,847.04,Salud y bienestar,Consulta médica,es,True
Water Bill,26.4,97.68,Servicios,Agua,en,False
Compra em Cabify: manutenção do veículo,416.17,1539.87,Transporte,Mantenimiento vehicular,pt,True
medicamentos / gimnasio local,362.91,1342.76,Salud y bienestar,Farmacia,es,True
servicio no identificado / comercio no identificado,258.77,957.43,Otros,Otros,es,True
Pago de consulta dental en centro médico,175.79,650.41,Salud y bienestar,Odontología,es,True
Compra en comercio no identificado: servicio no identificado,105.38,389.9,Otros,Otros,es,True
Netflix - cena con amigos,293.92,1087.51,Entretenimiento,Eventos,es,True
recibo de gas / empresa de servicios,252.65,934.8,Servicios,Gas domiciliario,es,True
Compra en Netflix: entradas de cine,94.79,350.72,Entretenimiento,Cine,es,True
consulta médica / centro médico,46.12,170.64,Salud y bienestar,Consulta médica,es,True
alquiler de vivienda / administración residencial - Mercado Pago,444.53,1644.81,Vivienda,Alquiler,es,True
Netflix - servicio de streaming,70.28,260.01,Entretenimiento,Streaming,es,True
personal trainer / gimnasio local,158.76,587.41,Salud y bienestar,Entrenamiento,pt,True
Pago de clase de yoga en farmacia local,156.46,578.89,Salud y bienestar,Entrenamiento,es,True
gimnasio local - membresía de gimnasio,148.74,550.33,Salud y bienestar,Gimnasio,es,True
Uber - transporte público - SPEI,14.97,55.37,Transporte,Transporte público,es,True
Pago de compra de vehículo en tienda departamental,1378.74,5101.55,Compras,Vehículo,es,True
Payment for yoga class at gimnasio local,69.21,256.07,Salud y bienestar,Entrenamiento,en,True
empresa eléctrica - recibo de agua,178.55,660.63,Servicios,Agua,es,True
Pago de membresía de gimnasio en farmacia local,36.91,136.53,Salud y bienestar,Gimnasio,es,True
empresa de servicios - internet and phone,67.95,251.42,Servicios,Internet y telefonía,en,True
Pago de reparación vehicular en Uber,96.21,355.96,Transporte,Mantenimiento vehicular,es,True
Jumbo - comida rápida - Mercado Pago,110.76,409.8,Alimentación,Comida rápida,es,True
cine local - ingressos de cinema,63.26,234.03,Entretenimiento,Cine,pt,True
Compra en Uber: combustible,177.78,657.78,Transporte,Combustible,es,True
taxi o aplicativo / Cabify,176.13,651.68,Transporte,Taxi y aplicativo,es,True
Pago de alojamiento en hotel en Booking,112.76,417.23,Viajes,Alojamiento,es,True
florería local - flores,165.19,611.21,Regalos,Flores,es,True
Pago de recibo de gas en empresa de servicios,165.68,613.03,Servicios,Gas domiciliario,es,True
Pago de equipo para ejercicio en gimnasio local - Mercado Pago,142.4,526.9,Salud y bienestar,Equipamiento deportivo,es,True
Spotify - cena con amigos,84.26,311.75,Entretenimiento,Eventos,es,True
comida en restaurante / Soriana,145.1,536.86,Alimentación,Restaurante,es,True
Pago de compra diversa en servicio general,76.55,283.22,Otros,Otros,es,True
Pago de medicamentos en centro médico,272.3,1007.55,Salud y bienestar,Farmacia,es,True
ropa / comercio local - Mercado Pago,197.0,728.88,Compras,Ropa,es,True
pollo / Jumbo,32.99,122.05,Alimentación,Supermercado,es,True
consulta dental / gimnasio local,730.54,2703.05,Salud y bienestar,Odontología,es,True
centro médico - consulta médica,489.87,1812.53,Salud y bienestar,Consulta médica,es,True
taxi o aplicativo / Cabify - billetera móvil,55.56,205.57,Transporte,Taxi y aplicativo,es,True
Compra en institución educativa: curso profesional,119.12,440.72,Educación,Cursos,es,True
Pagamento de aluguel em arrendador,591.08,2187.08,Vivienda,Alquiler,pt,True
Pago de leche en Jumbo,62.0,229.39,Alimentación,Supermercado,es,True
pan / Éxito,17.09,63.2,Alimentación,Supermercado,es,True
Compra en gimnasio local: clase de yoga,27.59,102.06,Salud y bienestar,Entrenamiento,es,True
Netflix - videojuegos,234.59,867.99,Entretenimiento,Videojuegos,es,True
Pago de alquiler de vivienda en administración residencial,1353.14,5006.72,Vivienda,Alquiler,es,True
materiales para tejido / Netflix,137.3,508.02,Entretenimiento,Lectura y pasatiempos,es,True
pan / Oxxo,42.47,157.14,Alimentación,Supermercado,es,True
Pago de alquiler de vivienda en administración residencial - Nequi,613.52,2270.08,Vivienda,Alquiler,es,True
comercio local - roupas,237.15,877.47,Compras,Ropa,pt,True
alquiler de vivienda / administración residencial,437.16,1617.58,Vivienda,Alquiler,es,True
medicamentos / centro médico,348.35,1288.92,Salud y bienestar,Farmacia,pt,True
Compra en Avon: jabón,47.45,175.56,Cuidado personal,Higiene,es,True
Pago de flores en florería local,131.31,485.84,Regalos,Flores,es,True
Compra en Coursera: libros,157.59,583.08,Educación,Libros,es,True
Pago de servicio no identificado en pago diverso,64.14,237.29,Otros,Otros,es,True
Compra em Pão de Açúcar: frango,161.86,598.9,Alimentación,Supermercado,pt,True
Pago de clase de yoga en farmacia local,91.35,338.0,Salud y bienestar,Entrenamiento,es,True
consulta dental / centro médico,169.85,628.43,Salud y bienestar,Odontología,es,True
tarjeta de regalo / tienda de regalos,17.22,63.71,Regalos,Tarjeta de regalo,es,True
Compra en Mercado Libre: ropa - Mercado Pago,238.89,883.92,Compras,Ropa,es,True
Pago de recibo de agua en empresa eléctrica,89.55,331.34,Servicios,Agua,es,True
Udemy - libros,53.47,197.82,Educación,Libros,es,True
Cornershop - café,56.31,208.31,Alimentación,Cafetería,es,True
Compra en Netflix: materiales para tejido,80.85,299.12,Entretenimiento,Lectura y pasatiempos,es,True
Compra en Éxito: comida en restaurante,207.41,767.42,Alimentación,Restaurante,es,True
Pago de suscripción a revista en Spotify,84.38,312.2,Entretenimiento,Revistas,es,True
Líder - café,12.64,46.73,Alimentación,Cafetería,es,True
Compra en PedidosYa: frutas,55.7,206.07,Alimentación,Supermercado,es,True
Compra en Mercado Libre: compra de vehículo,2044.11,7563.44,Compras,Vehículo,es,True
boleto aéreo / LATAM,372.73,1379.11,Viajes,Vuelo,es,True
Compra en Oxxo: leche,47.45,175.56,Alimentación,Supermercado,es,True
Pago de pago varios en pago diverso,185.4,685.98,Otros,Otros,es,True
servicio general - servicio no identificado,30.55,113.01,Otros,Otros,es,True
Oxxo - carne,151.48,560.47,Alimentación,Supermercado,es,True
compra de vehículo / tienda departamental,1005.2,3719.35,Compras,Vehículo,es,True
cine local - materiales de arte,121.12,448.14,Entretenimiento,Lectura y pasatiempos,es,True
Skin Care Products,658.0,2434.6,Cuidado personal,Cuidado de la piel,en,False
ingressos para show / cine local,269.7,997.92,Entretenimiento,Eventos,pt,True
Pago de ropa en tienda departamental,308.72,1142.27,Compras,Ropa,es,True
Compra en tienda de regalos: joyería,132.75,491.16,Regalos,Joyería,es,True
Pago de pago varios en servicio general - Mercado Pago,99.01,366.32,Otros,Otros,es,True
fast food / Pão de Açúcar,51.91,192.04,Alimentación,Comida rápida,pt,True
Compra en Booking: boleto aéreo,135.69,502.06,Viajes,Vuelo,es,True
Pagamento de ingressos de cinema em cine local,45.05,166.68,Entretenimiento,Cine,pt,True
institución educativa - materiales educativos,33.15,122.65,Educación,Materiales educativos,es,True
Snacks,77.7,287.49,Alimentación,Supermercado,en,False
Compra en farmacia local: consulta dental - Mercado Pago,562.27,2080.45,Salud y bienestar,Odontología,es,True
champú / Natura,59.08,218.57,Cuidado personal,Higiene,es,True
Pago de clase de yoga en centro médico,160.1,592.36,Salud y bienestar,Entrenamiento,es,True
passagem aérea / hotel local - PIX,562.91,2082.8,Viajes,Vuelo,pt,True
Compra en institución educativa: clases de idiomas,153.25,567.01,Educación,Cursos,es,True
Compra en servicio del hogar: alquiler de vivienda,1254.29,4640.99,Vivienda,Alquiler,es,True
Pago de champú en tienda de cuidado personal,68.0,251.6,Cuidado personal,Higiene,es,True
entrenador personal / farmacia local - Yape,284.33,1052.03,Salud y bienestar,Entrenamiento,es,True
Pago de pasta dental en tienda de cuidado personal - billetera móvil,27.67,102.37,Cuidado personal,Higiene,es,True
fast food / Carrefour,70.14,259.49,Alimentación,Comida rápida,pt,True
Pago de pago varios en servicio general,77.98,288.53,Otros,Otros,es,True
Pagamento de carne em iFood,32.4,119.88,Alimentación,Supermercado,pt,True
Pago de recibo de electricidad en empresa de servicios,179.81,665.3,Servicios,Electricidad,es,True
Compra en Natura: pasta dental,21.95,81.19,Cuidado personal,Higiene,es,True
Pago de consulta dental en farmacia local,242.62,897.71,Salud y bienestar,Odontología,es,True
Water Bill,48.94,181.08,Servicios,Agua,en,False
empresa eléctrica - internet y telefonía,235.48,871.28,Servicios,Internet y telefonía,es,True
Pago de flores en Miniso - SPEI,28.46,105.28,Regalos,Flores,es,True
Pago de ropa en comercio local,217.53,804.87,Compras,Ropa,es,True
Compra en estación de servicio: combustible,39.28,145.32,Transporte,Combustible,es,True
plataforma de aprendizagem / Coursera,164.13,607.27,Educación,Plataformas de aprendizaje,pt,True
centro médico - clase de yoga,162.94,602.88,Salud y bienestar,Entrenamiento,es,True
Pago de boleto aéreo en LATAM,620.66,2296.5,Viajes,Vuelo,es,True
Compra en empresa de servicios: recibo de gas,189.83,702.39,Servicios,Gas domiciliario,es,True
Rappi - frutas,47.44,175.52,Alimentación,Supermercado,es,True
tarjeta de regalo / Miniso,228.13,844.08,Regalos,Tarjeta de regalo,es,True
hotel local - alojamiento en hotel - SPEI,199.74,739.03,Viajes,Alojamiento,es,True
gimnasio local - consulta médica - billetera móvil,383.24,1418.0,Salud y bienestar,Consulta médica,es,True
miscellaneous payment / pago diverso,28.92,107.01,Otros,Otros,en,True
Pagamento de medicamentos em farmacia local,432.97,1602.01,Salud y bienestar,Farmacia,pt,True
Compra em tienda de cuidado personal: sabonete - PIX,38.07,140.82,Cuidado personal,Higiene,pt,True
Magazine,5.42,20.05,Entretenimiento,Revistas,en,False
Pago de compra de vehículo en comercio local,1016.79,3762.31,Compras,Vehículo,es,True
empresa de servicios - recibo de gas - Mercado Pago,100.07,370.24,Servicios,Gas domiciliario,es,True
materiales de arte / Netflix,86.62,320.5,Entretenimiento,Lectura y pasatiempos,es,True
internet y telefonía / empresa de servicios,244.98,906.43,Servicios,Internet y telefonía,es,True
calçados / tienda departamental,142.12,525.83,Compras,Calzado,pt,True
Compra en Éxito: pan,46.37,171.55,Alimentación,Supermercado,es,True
pasta dental / tienda de cuidado personal,36.66,135.62,Cuidado personal,Higiene,es,True
Pago de transporte público en Uber,25.15,93.02,Transporte,Transporte público,es,True
combustible / Cabify,62.23,230.25,Transporte,Combustible,es,True
Compra en servicio general: pago varios,77.7,287.48,Otros,Otros,es,True
Compra en centro médico: entrenador personal,51.16,189.32,Salud y bienestar,Entrenamiento,es,True
florería local - tarjeta de regalo,251.37,930.09,Regalos,Tarjeta de regalo,es,True
Avon - jabón,77.24,285.77,Cuidado personal,Higiene,es,True
servicio de streaming / Netflix,59.99,221.94,Entretenimiento,Streaming,es,True
Compra en Natura: jabón,48.11,177.97,Cuidado personal,Higiene,es,True
Natura - cuidado de la piel,262.44,971.06,Cuidado personal,Cuidado de la piel,es,True
Pago de alojamiento en hotel en Booking,285.76,1057.32,Viajes,Alojamiento,es,True
Uber - taxi o aplicativo,55.18,204.14,Transporte,Taxi y aplicativo,es,True
Pago de entrenador personal en farmacia local,311.03,1150.85,Salud y bienestar,Entrenamiento,es,True
Compra en Supermaxi: pan,54.21,200.56,Alimentación,Supermercado,es,True
estación de servicio - táxi ou aplicativo,59.21,219.08,Transporte,Taxi y aplicativo,pt,True
ropa / tienda departamental,138.12,511.02,Compras,Ropa,es,True
libros / Coursera - Mercado Pago,128.44,475.2,Educación,Libros,es,True
comercio local - calzado,379.44,1403.93,Compras,Calzado,es,True
compra diversa / pago diverso - PIX,149.47,553.02,Otros,Otros,pt,True
Compra en gimnasio local: equipo para ejercicio,131.6,486.91,Salud y bienestar,Equipamiento deportivo,es,True
entradas para concierto / cine local,101.24,374.56,Entretenimiento,Eventos,es,True
Pago de ropa en comercio local,133.94,495.58,Compras,Ropa,es,True
Compra en tienda de cuidado personal: champú,88.87,328.82,Cuidado personal,Higiene,es,True
Pago de combustible en Uber,231.14,855.23,Transporte,Combustible,es,True
Netflix - suscripción a revista,52.52,194.32,Entretenimiento,Revistas,es,True
centro médico - entrenador personal,270.89,1002.3,Salud y bienestar,Entrenamiento,es,True
Pago de pago varios en servicio general,68.08,251.88,Otros,Otros,es,True
internet e telefonia / empresa de servicios,200.55,742.03,Servicios,Internet y telefonía,pt,True
Éxito - comida en restaurante,218.74,809.36,Alimentación,Restaurante,es,True
táxi ou aplicativo / Cabify,113.27,419.09,Transporte,Taxi y aplicativo,pt,True
entradas de cine / cine local,95.21,352.25,Entretenimiento,Cine,es,True
Compra en Cornershop: leche,12.47,46.11,Alimentación,Supermercado,es,True
Compra en tienda departamental: ropa,323.28,1196.16,Compras,Ropa,es,True
pago diverso - compra diversa,306.77,1135.06,Otros,Otros,es,True
Pago de compra diversa en comercio no identificado,109.05,403.49,Otros,Otros,es,True
alquiler de vivienda / administración residencial,781.52,2891.72,Vivienda,Alquiler,es,True
Pagamento de videogames em cine local,275.89,1020.81,Entretenimiento,Videojuegos,pt,True
Compra em centro médico: equipamento de treino,309.65,1145.7,Salud y bienestar,Equipamiento deportivo,pt,True
centro médico - medicamentos,244.69,905.36,Salud y bienestar,Farmacia,es,True
Yoga Class,45.71,169.13,Salud y bienestar,Entrenamiento,en,False
empresa eléctrica - recibo de agua - SPEI,240.36,889.33,Servicios,Agua,es,True
gimnasio local - consulta dental - Nequi,254.65,942.23,Salud y bienestar,Odontología,es,True
recibo de agua / empresa eléctrica - PIX,52.55,194.4,Servicios,Agua,es,True
Toothpaste,15.28,56.54,Cuidado personal,Higiene,en,False
Pago de entradas para concierto en Spotify,224.68,831.31,Entretenimiento,Eventos,es,True
Pago de recibo de agua en empresa eléctrica,106.62,394.46,Servicios,Agua,es,True
Pago de compra diversa en comercio no identificado - Nequi,90.43,334.57,Otros,Otros,es,True
empresa de servicios - recibo de gas,340.59,1260.19,Servicios,Gas domiciliario,es,True
Pago de entradas de cine en Netflix,56.5,209.03,Entretenimiento,Cine,es,True
Spotify - materiales para tejido,90.93,336.43,Entretenimiento,Lectura y pasatiempos,es,True
florería local - tarjeta de regalo,90.13,333.49,Regalos,Tarjeta de regalo,es,True
Pagamento de plataforma de aprendizagem em Udemy,147.21,544.68,Educación,Plataformas de aprendizaje,pt,True
Pago de alquiler de vivienda en administración residencial - SPEI,864.96,3200.45,Vivienda,Alquiler,es,True
cuidado de la piel / Natura,527.45,1951.61,Cuidado personal,Cuidado de la piel,es,True
compra diversa / comercio no identificado,39.3,145.39,Otros,Otros,es,True
membresía de gimnasio / farmacia local,86.83,321.27,Salud y bienestar,Gimnasio,es,True
Netflix - materiais de arte,235.81,872.5,Entretenimiento,Lectura y pasatiempos,pt,True
Pago de café en supermercado local,144.43,534.4,Alimentación,Cafetería,es,True
reparación vehicular / estación de servicio,212.18,785.07,Transporte,Mantenimiento vehicular,es,True
cine local - servicio de streaming - Nequi,82.41,304.91,Entretenimiento,Streaming,es,True
Booking - boleto aéreo,556.02,2057.3,Viajes,Vuelo,es,True
joyería / Miniso,274.79,1016.74,Regalos,Joyería,es,True
servicio general - compra diversa,112.86,417.59,Otros,Otros,pt,True
Compra en estación de servicio: transporte público - billetera digital,28.22,104.38,Transporte,Transporte público,es,True
Pago de consulta dental en centro médico,395.13,1462.03,Salud y bienestar,Odontología,es,True
Compra em Coursera: livros,212.4,785.89,Educación,Libros,pt,True
arrendador - alquiler de vivienda,923.06,3415.38,Vivienda,Alquiler,es,True
Compra em Pão de Açúcar: fast food - PIX,21.97,81.28,Alimentación,Comida rápida,pt,True
Compra en farmacia local: equipo para ejercicio,297.17,1099.56,Salud y bienestar,Equipamiento deportivo,es,True
Pago de materiales para tejido en Spotify,126.5,468.03,Entretenimiento,Lectura y pasatiempos,es,True
medicamentos / centro médico,162.32,600.6,Salud y bienestar,Farmacia,pt,True
Pago de ropa en comercio local,224.8,831.78,Compras,Ropa,es,True
Pago de alquiler de vivienda en arrendador,1040.64,3850.46,Vivienda,Alquiler,es,True
Pago de entradas para concierto en Spotify,143.36,530.42,Entretenimiento,Eventos,es,True
Compra en gimnasio local: consulta médica,272.09,1006.75,Salud y bienestar,Consulta médica,es,True
leche / Éxito,11.57,42.77,Alimentación,Supermercado,es,True
frutas / Jumbo,30.91,114.36,Alimentación,Supermercado,es,True
Payment for soap at tienda de cuidado personal,87.48,323.65,Cuidado personal,Higiene,en,True
materiales educativos / Coursera,266.65,986.62,Educación,Materiales educativos,es,True
Compra em Avon: xampu,104.98,388.41,Cuidado personal,Higiene,pt,True
Compra en administración residencial: alquiler de vivienda,408.28,1510.7,Vivienda,Alquiler,es,True
Pago de productos electrónicos en comercio local,373.33,1381.35,Compras,Electrónica,es,True
Pago de alquiler de vivienda en servicio del hogar - Nequi,764.24,2827.75,Vivienda,Alquiler,es,True
consulta dental / farmacia local,210.22,777.82,Salud y bienestar,Odontología,es,True
Compra en servicio del hogar: mantenimiento del hogar,93.25,345.01,Vivienda,Mantenimiento del hogar,es,True
entradas para concierto / Spotify,157.78,583.78,Entretenimiento,Eventos,es,True
comercio no identificado - servicio no identificado,122.07,451.64,Otros,Otros,es,True
Compra en farmacia local: membresía de gimnasio,49.47,183.03,Salud y bienestar,Gimnasio,es,True
Compra en Netflix: materiales para tejido,149.98,554.91,Entretenimiento,Lectura y pasatiempos,es,True
Compra en servicio general: servicio no identificado - SPEI,66.41,245.7,Otros,Otros,es,True
flores / Miniso,50.2,185.76,Regalos,Flores,es,True
Compra em comercio no identificado: compra diversa,245.32,907.68,Otros,Otros,pt,True
flores / florería local,135.34,500.76,Regalos,Flores,pt,True
Compra en Uber: transporte público,59.2,219.03,Transporte,Transporte público,es,True
Pago de café en Jumbo,48.17,178.22,Alimentación,Cafetería,es,True
actividad turística / Booking,117.31,434.05,Viajes,Turismo,es,True
LATAM - boleto aéreo,295.27,1092.5,Viajes,Vuelo,es,True
gimnasio local - medicamentos,350.26,1295.99,Salud y bienestar,Farmacia,pt,True
Compra en tienda departamental: productos electrónicos,66.2,244.98,Compras,Electrónica,es,True
Netflix - entradas de cine,41.48,153.45,Entretenimiento,Cine,es,True
combustible / estación de servicio,82.97,306.99,Transporte,Combustible,es,True
empresa eléctrica - conta de água,53.1,196.46,Servicios,Agua,pt,True
champú / Avon,62.27,230.39,Cuidado personal,Higiene,es,True
equipamento de treino / gimnasio local,896.92,3318.68,Salud y bienestar,Equipamiento deportivo,pt,True
Spotify - materiais de crochê - PIX,49.41,182.78,Entretenimiento,Lectura y pasatiempos,pt,True
Pago de consulta dental en gimnasio local,307.64,1138.27,Salud y bienestar,Odontología,es,True
Pago de medicamentos en farmacia local,100.7,372.58,Salud y bienestar,Farmacia,es,True
ropa / tienda departamental,244.87,906.05,Compras,Ropa,es,True
Natura - cuidado de la piel,378.01,1398.66,Cuidado personal,Cuidado de la piel,es,True
Uber - transporte público,13.75,50.83,Transporte,Transporte público,es,True
Pago de reparación vehicular en Uber - Yape,136.3,504.31,Transporte,Mantenimiento vehicular,es,True
Rappi - comida rápida - Nequi,166.31,615.33,Alimentación,Comida rápida,es,True
frutas / Pão de Açúcar,67.24,248.76,Alimentación,Supermercado,pt,True
Compra en restaurante local: comida rápida,43.39,160.52,Alimentación,Comida rápida,es,True
Pago de verduras en Éxito - Nequi,40.29,149.07,Alimentación,Supermercado,es,True
Pago de verduras en Walmart,41.11,152.08,Alimentación,Supermercado,es,True
Pago de frutas en Oxxo,37.05,137.06,Alimentación,Supermercado,es,True
Pagamento de materiais de crochê em Spotify,178.14,659.12,Entretenimiento,Lectura y pasatiempos,pt,True
Pago de videojuegos en cine local,262.01,969.44,Entretenimiento,Videojuegos,es,True
Compra en servicio del hogar: alquiler de vivienda,495.06,1831.8,Vivienda,Alquiler,es,True
transporte público / Uber,13.85,51.22,Transporte,Transporte público,es,True
Walmart - carne,106.4,393.66,Alimentación,Supermercado,es,True
Compra en Udemy: libros,84.79,313.72,Educación,Libros,es,True
servicio no identificado / pago diverso,123.98,458.73,Otros,Otros,es,True
Compra en Booking: actividad turística - PIX,45.95,169.99,Viajes,Turismo,es,True
Compra en cine local: entradas de cine,173.51,641.98,Entretenimiento,Cine,es,True
taxi o aplicativo / Cabify,103.86,384.27,Transporte,Taxi y aplicativo,es,True
Compra en gimnasio local: membresía de gimnasio,81.51,301.58,Salud y bienestar,Gimnasio,es,True
clase de yoga / gimnasio local,83.42,308.62,Salud y bienestar,Entrenamiento,es,True
Pagamento de medicamentos em gimnasio local,417.31,1544.08,Salud y bienestar,Farmacia,pt,True
Pago de materiales educativos en Coursera,173.09,640.44,Educación,Materiales educativos,es,True
Compra en Avon: cuidado de la piel,658.19,2435.38,Cuidado personal,Cuidado de la piel,es,True
Compra em Mercado Libre: calçados,150.25,555.93,Compras,Calzado,pt,True
cine local - servicio de streaming,47.79,176.79,Entretenimiento,Streaming,es,True
Pago de entrenador personal en gimnasio local,199.18,736.99,Salud y bienestar,Entrenamiento,es,True
café / Carrefour - Mercado Pago,43.0,159.09,Alimentación,Cafetería,es,True
Jumbo - snacks,46.9,173.5,Alimentación,Supermercado,es,True
Pago de recibo de gas en proveedor de internet,165.78,613.36,Servicios,Gas domiciliario,es,True
Plaza Vea - comida en restaurante,211.92,784.11,Alimentación,Restaurante,es,True
Compra em farmacia local: consulta médica,215.78,798.38,Salud y bienestar,Consulta médica,pt,True
Compra en Natura: cuidado de la piel,318.82,1179.67,Cuidado personal,Cuidado de la piel,es,True
Pago de ropa en comercio local,259.16,958.91,Compras,Ropa,es,True
Compra en proveedor de internet: recibo de gas,129.7,479.87,Servicios,Gas domiciliario,es,True
Pago de membresía de gimnasio en gimnasio local,27.62,102.16,Salud y bienestar,Gimnasio,es,True
iFood - fast food,48.13,178.05,Alimentación,Comida rápida,pt,True
Compra en gimnasio local: clase de yoga,7.52,27.78,Salud y bienestar,Entrenamiento,es,True
Compra en Coto: café,14.51,53.67,Alimentación,Cafetería,es,True
champú / tienda de cuidado personal,257.86,954.07,Cuidado personal,Higiene,es,True
Compra em Uber: táxi ou aplicativo,29.32,108.46,Transporte,Taxi y aplicativo,pt,True
taxi o aplicativo / estación de servicio,9.93,36.71,Transporte,Taxi y aplicativo,es,True
conta de energia / empresa de servicios,331.08,1225.01,Servicios,Electricidad,pt,True
Compra en estación de servicio: taxi o aplicativo - SPEI,86.58,320.32,Transporte,Taxi y aplicativo,es,True
farmacia local - consulta odontológica,446.8,1653.18,Salud y bienestar,Odontología,pt,True
